OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
152,5.0,15200361,Vlit500361,15200358.0,Goldegg-Sandstein
153,3.0,15200362,Vlit500362,15200348.0,UMM-J
156,4.0,15200363,Vlit500363,15200362.0,Septarienton
157,4.0,15200364,Vlit500364,15200362.0,Fischschiefer
158,4.0,15200365,Vlit500365,15200362.0,Foraminiferenmergel
159,4.0,15200366,Vlit500366,15200362.0,Meeressand
155,5.0,15200368,Vlit500368,15200369.0,Cyathulabank (Laufen-Becken)
154,4.0,15200369,Vlit500369,15200362.0,Cyrenenmergel
167,5.0,15200370,Vlit500370,15200394.0,Porrentruy-Konglomerat
163,3.0,15200371,Vlit500371,15200640.0,Raitsche
160,5.0,15200373,Vlit500373,15200366.0,Ajoie-Gompholit
135,5.0,15200378,Vlit500378,15200343.0,Tüllingen-Süsswasserkalk
132,3.0,15200379,Vlit500379,15200314.0,Elsässer-Molasse s.l.
292,4.0,15200380,Vlit500380,15200008.0,Oberer Teil des Hauptrogensteins
304,4.0,15200382,Vlit500382,15200008.0,Unterer Teil des Hauptrogensteins
301,5.0,15200383,Vlit500383,15200380.0,Calcaire roux marneux
50,5.0,15200384,Vlit500384,15200301.0,Ajoie-Member
52,5.0,15200385,Vlit500385,15200301.0,Bois-de-Raube-Member
54,5.0,15200386,Vlit500386,15200301.0,Montchaibeux-Member
169,2.0,15200387,Vlit500387,15200091.0,Daubrée-Konglomerat
48,2.0,15200388,Vlit500388,15201333.0,Wanderblock-Bildungen
66,4.0,15200389,Vlit500389,15200308.0,Geröllsande
67,4.0,15200390,Vlit500390,15200308.0,Polygene Nagelfluh
89,4.0,15200391,Vlit500391,15200311.0,Muschelsandstein
90,4.0,15200392,Vlit500392,15200311.0,Graue Molasse
170,3.0,15200393,Vlit500393,15200387.0,Daubrée-Kalk
161,4.0,15200394,Vlit500394,15200341.0,Basisbildungen der USM-J
56,5.0,15200395,Vlit500395,15200302.0,Laufen-Juranagelfluh
57,5.0,15200396,Vlit500396,15200302.0,Basler Juranagelfluh
58,5.0,15200397,Vlit500397,15200302.0,Aargauer Juranagelfluh
59,5.0,15200398,Vlit500398,15200302.0,Randen-Juranagelfluh
68,4.0,15200399,Vlit500399,15200308.0,Jensberg-Schichten
69,5.0,15200400,Vlit500400,15200399.0,Rebhubel-Schichten
70,4.0,15200401,Vlit500401,15200308.0,Niedermatt-Formation
71,4.0,15200402,Vlit500402,15200308.0,Belpberg-Formation
72,5.0,15200403,Vlit500403,15200408.0,Pfadflüe-Nagelfluh
73,5.0,15200404,Vlit500404,15200408.0,Sädel-Kalknagelfluh
74,5.0,15200405,Vlit500405,15200402.0,Utzigen-Muschelsandstein
75,5.0,15200406,Vlit500406,15200402.0,Ulmiz-Quarzitnagelfluh
76,5.0,15200407,Vlit500407,15200402.0,Bütschelbach-Nagelfluh
77,4.0,15200408,Vlit500408,15200308.0,Kalchstätten-Formation
80,5.0,15200409,Vlit500409,15200309.0,Freudenberg-Nagelfluh
81,5.0,15200410,Vlit500410,15200309.0,Goldbrunnen-Schichten
82,5.0,15200411,Vlit500411,15200309.0,Dreilinden-Nagelfluh
83,5.0,15200412,Vlit500412,15200309.0,Obere Grenznagelfluh
86,4.0,15200413,Vlit500413,15200308.0,Kirchberg-Formation
87,4.0,15200414,Vlit500414,15200308.0,Grimmelfingen-Formation
