OBJECTID,UUID,LITSTRAT_FORMATION_BANK,GEOL_MAPPING_UNIT,CHRONO_TOP,CHRONO_BASE,LITHO_MAIN,LITHO_SEC,LITHO_TER,CORRELATION
3071,{1650B880-8285-47D1-815D-F37FF30A3ADC},15254022.0,15203321.0,15001091.0,15001091.0,15111516.0,,,15287002.0
3072,{323E0C55-854D-4271-8C71-234C308AB186},15254023.0,15203322.0,15001091.0,15001091.0,15111510.0,,,15287002.0
3073,{2BA9D0A4-03E6-4C36-919A-62D223E374F4},15254024.0,15203323.0,15001049.0,15001091.0,15111636.0,15111456.0,15111484.0,15287001.0
3075,{D1232012-8F3C-42B5-ADD3-B23CF945ED66},15254020.0,15203325.0,15001049.0,15001049.0,15111589.0,,,15285029.0
2197,{DCB3A837-F224-4CC9-9E98-7E397D20ADAA},15255047.0,15203327.0,15001048.0,15001048.0,15111102.0,15111074.0,,15285025.0
2198,{447DE932-5DF1-4482-8319-F4444F16D070},15255046.0,15203328.0,15001056.0,15001057.0,15111056.0,15111132.0,,15285025.0
2199,{B2914071-9DA5-473E-BF82-9918D5738625},15255045.0,15203329.0,15001054.0,15001055.0,15111017.0,15111132.0,,15285025.0
2805,{9211BFF5-95B0-41A9-A6CA-129CB3625178},15255261.0,15203330.0,15001124.0,15001124.0,15111527.0,15111527.0,,15287002.0
2806,{FA80EBA4-17CE-4984-93FD-D21824A37F68},15255261.0,15203331.0,15001124.0,15001124.0,15111405.0,,,15287002.0
2807,{4C4AD7EB-37FE-4528-99AE-758A1255925F},15255274.0,15203332.0,15001091.0,15001091.0,15111510.0,15111385.0,,15287001.0
2808,{FD99C67D-A2D8-4F5E-815D-5593D5FBDE09},15255273.0,15203333.0,15001093.0,15001119.0,15111546.0,,,15285001.0
2200,{8A7E760D-06D0-4259-85FD-53CDFA41D0BC},15255008.0,15203334.0,15001051.0,15001051.0,15111017.0,15111097.0,,15285025.0
2201,{F12C7FE3-CA69-45B1-BBB8-FF87BF3A8388},15255009.0,15203335.0,15001058.0,15001066.0,15111142.0,15111044.0,15111186.0,15285030.0
2202,{A7FC7B45-66BF-45E0-B2C8-F5E1D29B6F01},,15203336.0,15001082.0,15001082.0,15111589.0,,,15285047.0
2203,{CAAEB7A8-88C0-4DDF-BEF2-DD3042C006EA},,15203337.0,15001070.0,15001075.0,15111102.0,15111323.0,15111007.0,15285043.0
2811,{0DF7A302-C9C8-4EE8-B832-0FFF4AED921B},15255176.0,15203338.0,15001087.0,15001087.0,15111202.0,,,15285049.0
